title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
Monty Python's Flying Circus,1969,TV-14,30,"English, Arabic, French, German, Italian, Mandarin, Spanish","['comedy', 'european']",['GB'],4.0,8.8,72895.0
Monty Python's Fliegender Zirkus,1972,TV-MA,43,"English, German",['comedy'],[],1.0,8.1,2144.0
Seinfeld,1989,TV-PG,24,English,['comedy'],['US'],9.0,8.9,302700.0
Knight Rider,1982,TV-PG,51,English,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,6.9,33760.0
Thomas & Friends,1984,TV-Y,10,"Spanish, French, Chinese, Japanese, English","['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,6.5,4948.0
Saved by the Bell,1989,TV-G,23,English,"['comedy', 'romance', 'family']",['US'],5.0,7.1,34854.0
Wheel of Fortune,1983,TV-G,26,English,['family'],['US'],39.0,6.7,3126.0
Major Dad,1989,TV-PG,24,English,"['comedy', 'family']",['US'],4.0,6.4,2866.0
Fireman Sam,1987,TV-Y,10,"English, Welsh","['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,6.1,1759.0
Danger Mouse,1981,TV-Y,15,English,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,7.4,3514.0
High Risk,1988,TV-PG,50,English,['comedy'],['US'],1.0,3.8,6.0
Survivor,2000,TV-PG,48,English,['reality'],['US'],42.0,7.4,24368.0
Stargate SG-1,1997,TV-PG,44,English,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,8.4,90196.0
Pokémon,1997,TV-Y7,22,Japanese,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,7.6,172.0
One Piece,1999,TV-14,23,Japanese,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,8.8,112586.0
Cowboy Bebop,1998,TV-14,25,Japanese,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,8.9,112887.0
Star Trek: Deep Space Nine,1993,TV-PG,47,"English, Klingon","['scifi', 'action', 'drama']",['US'],7.0,8.1,61145.0
The Challenge,1998,TV-14,40,English,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,7.8,3274.0
Gilmore Girls,2000,TV-14,46,English,"['comedy', 'drama']",['US'],8.0,8.2,119054.0
Neon Genesis Evangelion,1995,TV-14,24,"Japanese, German","['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,8.5,64727.0
The Magic School Bus,1994,TV-Y,26,English,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,7.8,9708.0
Power Rangers,1993,TV-Y7,22,English,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,6.5,21949.0
Adventures of Sonic the Hedgehog,1993,TV-Y7,22,English,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,6.2,3808.0
Goosebumps,1995,TV-PG,22,English,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,7.6,13361.0
Yu-Gi-Oh!,1998,TV-Y,22,Japanese,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,7.2,20888.0
InuYasha,2000,TV-14,25,Japanese,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,7.9,15823.0
Barney & Friends,1992,TV-G,28,English,['family'],['US'],14.0,3.8,9955.0
Moesha,1996,TV-PG,21,English,"['drama', 'comedy', 'family']",['US'],6.0,5.7,3713.0
"Sister, Sister",1994,TV-PG,22,English,"['comedy', 'drama', 'family']",['US'],6.0,6.2,12535.0
Cardcaptor Sakura,1998,TV-Y7,25,Japanese,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,8.0,4936.0
Girlfriends,2000,TV-PG,21,English,"['comedy', 'drama']",['US'],8.0,7.2,4482.0
The Parkers,1999,TV-PG,19,English,['comedy'],['US'],5.0,6.8,2346.0
Dale's Supermarket Sweep,1993,TV-G,21,English,[],['GB'],8.0,7.1,39.0
Oggy and the Cockroaches,1999,TV-Y7,9,"French, English","['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,7.4,4185.0
H,1998,TV-MA,25,French,['comedy'],['FR'],4.0,7.4,1703.0
Heartbreak High,1994,TV-MA,47,English,"['drama', 'romance', 'comedy']",['AU'],7.0,7.8,3106.0
Okupas,2000,TV-MA,40,Spanish,"['crime', 'drama']",['AR'],1.0,9.0,2326.0
Breaking Bad,2008,TV-MA,48,"English, Spanish","['drama', 'thriller', 'crime']",['US'],5.0,9.5,1727694.0
The Walking Dead,2010,TV-MA,46,English,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],11.0,8.2,945125.0
The Staircase,2004,TV-MA,49,English,"['crime', 'documentation', 'drama']",['FR'],2.0,7.8,21531.0
Downton Abbey,2010,TV-14,58,English,"['drama', 'romance', 'european']",['GB'],6.0,8.7,197744.0
